Topology,Number of Nodes,Algorithm,Latency (ms),Throughput (Mbps),Routing Overhead (packets),Network Utilization (%),Execution Time (s),Weights
mesh,190,Path Vector,100.0,0.07993605115912328,6822900,1.6,79.6631669998169,constant
mesh,200,Distance Vector,9.95,0.7993605115913979,39800,0.16,97.9236798286438,constant
mesh,200,Link State,9.95,0.7993605115913979,39800,0.16,1.5024981498718262,constant
mesh,200,Path Vector,100.0,0.07993605115913979,7960000,1.6,102.13498401641846,constant
ring,10,Distance Vector,25.0,0.7997696663360955,20,2.0,0.0006930828094482422,constant
ring,10,Link State,25.0,0.7997696663360955,20,2.0,0.0005910396575927734,constant
ring,10,Path Vector,277.77777777777777,0.02879170798809944,200,7.199999999999999,0.0011761188507080078,constant
ring,20,Distance Vector,50.0,0.7998784184803884,40,8.0,0.0018310546875,constant
ring,20,Link State,50.0,0.7998784184803884,40,8.0,0.0004601478576660156,constant
ring,20,Path Vector,526.3157894736842,0.015197689951127379,800,15.2,0.0018498897552490234,constant
ring,30,Distance Vector,75.0,0.7999175196157431,60,18.0,0.005635261535644531,constant
ring,30,Link State,75.0,0.7999175196157431,60,18.0,0.001024007797241211,constant
ring,30,Path Vector,775.8620689655173,0.010310048030602911,1800,23.200000000000003,0.00574493408203125,constant
ring,40,Distance Vector,100.0,0.7999376048668092,80,32.0,0.012915849685668945,constant
ring,40,Link State,100.0,0.7999376048668092,80,32.0,0.002070188522338867,constant
ring,40,Path Vector,1025.6410256410256,0.00779939164745139,3200,31.2,0.013753890991210938,constant
ring,50,Distance Vector,125.0,0.7999498271468617,100,50.0,0.025033950805664062,constant
ring,50,Link State,125.0,0.7999498271468617,100,50.0,0.0034759044647216797,constant
ring,50,Path Vector,1275.5102040816328,0.006271606644831396,5000,39.2,0.02573418617248535,constant
ring,60,Distance Vector,150.0,0.7999580466447269,120,72.0,0.0431210994720459,constant
ring,60,Link State,150.0,0.7999580466447269,120,72.0,0.005330085754394531,constant
ring,60,Path Vector,1525.4237288135594,0.00524416941689321,7200,47.199999999999996,0.04421114921569824,constant
ring,70,Distance Vector,175.0,0.7999639526447277,140,98.0,0.0692741870880127,constant
ring,70,Link State,175.0,0.7999639526447277,140,98.0,0.007906198501586914,constant
ring,70,Path Vector,1775.3623188405797,0.004505919406733568,9800,55.2,0.11214089393615723,constant
ring,80,Distance Vector,200.0,0.7999684012481841,160,128.0,0.09955096244812012,constant
ring,80,Link State,200.0,0.7999684012481841,160,128.0,0.012145757675170898,constant
ring,80,Path Vector,2025.3164556962024,0.003949843981162909,12800,63.2,0.10784602165222168,constant
ring,90,Distance Vector,225.0,0.7999718725940216,180,162.0,0.163909912109375,constant
ring,90,Link State,225.0,0.7999718725940216,180,162.0,0.018437862396240234,constant
